id_departamento,id_provincia,departamento,provincia
197,7,Mercedes,Corrientes
198,7,Paso de los Libres,Corrientes
199,7,Santo Tomé,Corrientes
200,7,Curuzú Cuatiá,Corrientes
201,7,Concepción,Corrientes
202,7,Empedrado,Corrientes
203,7,General Alvear,Corrientes
204,7,General Paz,Corrientes
205,7,Itatí,Corrientes
206,7,Ituzaingó,Corrientes
207,7,Mburucuyá,Corrientes
208,7,San Miguel,Corrientes
209,7,San Roque,Corrientes
210,7,Berón de Astrada,Corrientes
211,8,Confluencia,Neuquén
212,8,Huiliches,Neuquén
213,8,Lácar,Neuquén
214,8,Pehuenches,Neuquén
215,8,Zapala,Neuquén
216,8,Añelo,Neuquén
217,8,Aluminé,Neuquén
218,8,Chos Malal,Neuquén
219,8,Loncopué,Neuquén
220,8,Picún Leufú,Neuquén
221,9,General Roca,Río Negro
222,9,El Cuy,Río Negro
223,9,Bariloche,Río Negro
224,9,Adolfo Alsina,Río Negro
225,9,San Antonio,Río Negro
226,9,25 de mayo,Río Negro
227,10,Comuna 1,Ciudad Autónoma de Buenos Aires
228,10,Comuna 2,Ciudad Autónoma de Buenos Aires
229,10,Comuna 4,Ciudad Autónoma de Buenos Aires
230,10,Comuna 7,Ciudad Autónoma de Buenos Aires
231,10,Comuna 8,Ciudad Autónoma de Buenos Aires
232,10,Comuna 9,Ciudad Autónoma de Buenos Aires
233,10,Comuna 15,Ciudad Autónoma de Buenos Aires
234,10,Comuna 14,Ciudad Autónoma de Buenos Aires
235,10,Comuna 6,Ciudad Autónoma de Buenos Aires
236,11,Paraná,Entre Ríos
237,11,Concordia,Entre Ríos
238,11,Gualeguay,Entre Ríos
239,11,Uruguay,Entre Ríos
240,11,Gualeguaychú,Entre Ríos
241,11,Nogoyá,Entre Ríos
242,11,Victoria,Entre Ríos
243,11,Diamante,Entre Ríos
244,11,Tala,Entre Ríos
245,11,Federación,Entre Ríos
246,11,Colón,Entre Ríos
247,11,La Paz,Entre Ríos
248,11,Islas del Ibicuy,Entre Ríos
249,11,Federal,Entre Ríos
250,11,Villaguay,Entre Ríos
251,12,Capital,Catamarca
252,12,Valle Viejo,Catamarca
253,12,Belén,Catamarca
254,12,Andalgalá,Catamarca
255,12,Tinogasta,Catamarca
256,12,La Paz,Catamarca
257,12,Capayán,Catamarca
258,12,Fray Mamerto Esquiú,Catamarca
259,12,Paclín,Catamarca
260,13,Capital,Tucumán
261,13,Lules,Tucumán
262,13,Cruz Alta,Tucumán
263,13,Río Chico,Tucumán
264,13,Famaillá,Tucumán
265,13,Juan B. Alberdi,Tucumán
266,13,Leales,Tucumán
267,13,Monteros,Tucumán
268,13,Tafí Viejo,Tucumán
269,13,Yerba Buena,Tucumán
270,13,Chicligasta,Tucumán
271,13,Burruyacú,Tucumán
272,13,Graneros,Tucumán
273,13,La Cocha,Tucumán
274,13,Simoca,Tucumán
275,13,Tafí del Valle,Tucumán
276,13,Trancas,Tucumán
277,14,General Pedernera,San Luis
278,14,Juan Martín de Pueyrredón,San Luis
279,14,Ayacucho,San Luis
280,14,Chacabuco,San Luis
281,14,Gobernador Dupuy,San Luis
282,14,Junín,San Luis
283,15,Chimbas,San Juan
284,15,Rivadavia,San Juan
285,15,Santa Lucía,San Juan
286,15,Caucete,San Juan
287,15,Pocito,San Juan
288,15,Capital,San Juan
289,15,Ullum,San Juan
290,15,Rawson,San Juan
291,15,25 de mayo,San Juan
